Start	End	Direction	Weight
hsa:7157	hsa:51426	1	1
hsa:7157	hsa:1643	1	1
hsa:7157	hsa:578	1	1
hsa:7157	hsa:581	1	1
hsa:10912	hsa:1647	0	1
hsa:10912	hsa:4616	0	1
hsa:1647	hsa:4616	0	1
hsa:7157	hsa:10912	1	1
hsa:7157	hsa:1647	1	1
hsa:7157	hsa:4616	1	1
hsa:7157	hsa:1026	1	1
hsa:23462	hsa:23493	0	1
hsa:23462	hsa:26508	0	1
hsa:23493	hsa:26508	0	1
hsa:23462	hsa:2064	1	1
hsa:23493	hsa:2064	1	1
hsa:26508	hsa:2064	1	1
hsa:23462	hsa:4791	1	1
hsa:23493	hsa:4791	1	1
hsa:26508	hsa:4791	1	1
hsa:23462	hsa:4609	1	1
hsa:23493	hsa:4609	1	1
hsa:26508	hsa:4609	1	1
hsa:23462	hsa:1026	1	1
hsa:23493	hsa:1026	1	1
hsa:26508	hsa:1026	1	1
hsa:23462	hsa:595	1	1
hsa:23493	hsa:595	1	1
hsa:26508	hsa:595	1	1
hsa:3280	hsa:388585	0	1
hsa:3280	hsa:2064	1	1
hsa:388585	hsa:2064	1	1
hsa:3280	hsa:4791	1	1
hsa:388585	hsa:4791	1	1
hsa:3280	hsa:4609	1	1
hsa:388585	hsa:4609	1	1
hsa:3280	hsa:1026	1	1
hsa:388585	hsa:1026	1	1
hsa:3280	hsa:595	1	1
hsa:388585	hsa:595	1	1
hsa:2246	hsa:2247	0	1
hsa:2246	hsa:2248	0	1
hsa:2246	hsa:2249	0	1
hsa:2246	hsa:2250	0	1
hsa:2246	hsa:2251	0	1
hsa:2246	hsa:2252	0	1
hsa:2246	hsa:2253	0	1
hsa:2246	hsa:2254	0	1
hsa:2246	hsa:2255	0	1
hsa:2246	hsa:26281	0	1
hsa:2246	hsa:26291	0	1
hsa:2246	hsa:27006	0	1
hsa:2246	hsa:8074	0	1
hsa:2246	hsa:8817	0	1
hsa:2246	hsa:8822	0	1
hsa:2246	hsa:8823	0	1
hsa:2246	hsa:9965	0	1
hsa:2247	hsa:2248	0	1
hsa:2247	hsa:2249	0	1
hsa:2247	hsa:2250	0	1
hsa:2247	hsa:2251	0	1
hsa:2247	hsa:2252	0	1
hsa:2247	hsa:2253	0	1
hsa:2247	hsa:2254	0	1
hsa:2247	hsa:2255	0	1
hsa:2247	hsa:26281	0	1
hsa:2247	hsa:26291	0	1
hsa:2247	hsa:27006	0	1
hsa:2247	hsa:8074	0	1
hsa:2247	hsa:8817	0	1
hsa:2247	hsa:8822	0	1
hsa:2247	hsa:8823	0	1
hsa:2247	hsa:9965	0	1
hsa:2248	hsa:2249	0	1
hsa:2248	hsa:2250	0	1
hsa:2248	hsa:2251	0	1
hsa:2248	hsa:2252	0	1
hsa:2248	hsa:2253	0	1
hsa:2248	hsa:2254	0	1
hsa:2248	hsa:2255	0	1
hsa:2248	hsa:26281	0	1
hsa:2248	hsa:26291	0	1
hsa:2248	hsa:27006	0	1
hsa:2248	hsa:8074	0	1
hsa:2248	hsa:8817	0	1
hsa:2248	hsa:8822	0	1
hsa:2248	hsa:8823	0	1
hsa:2248	hsa:9965	0	1
hsa:2249	hsa:2250	0	1
